Programa,Nivel,Tipo de Programa,Estado,Oferta Vigente,Etapa,Vigencia Acreditación (Texto),Facultad/Centro,Años Acreditación,Tipo Acreditación,Área del Conocimiento (SIES)
DOCTORADO EN FISICA MENCION FISICA MATEMATICA,Postgrado,Doctorado,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Noviembre de 2027,FACIBA,3 años,Obligatoria,Ciencias Básicas
DOCTORADO EN ENERGIA SOLAR,Postgrado,Doctorado,Acreditado,Sí,Pendiente Acuerdo/Seg. PM,Hasta Septiembre de 2029,FACING/CDEA,4 años,Obligatoria,Tecnología
DOCTORADO EN CIENCIAS APLICADAS MENCION SISTEMAS ACUATICOS,Postgrado,Doctorado,Acreditado,Sí,Pendiente Acuerdo/Seg. PM,Hasta Enero de 2032,FACIMAR,6 años,Obligatoria,Ciencias Básicas
DOCTORADO EN INGENIERIA DE PROCESO DE MINERALES,Postgrado,Doctorado,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Marzo de 2030,FACING,8 años,Obligatoria,Tecnología
DOCTORADO EN ASTROFISICA Y ASTROINFORMATICA,Postgrado,Doctorado,Acreditado,Sí,Autoevaluación/ Seguimiento PM,Hasta Julio de 2026,CITEVA,3 años,Obligatoria,Ciencias Básicas
DOCTORADO EN EDUCACION - PROGRAMA CONSORCIADO,Postgrado,Doctorado,Acreditado,Sí,Pendiente Acuerdo/Seg. PM,Hasta abril de 2029,FACEDUC,3 Años,Obligatoria,Educación
MAGISTER ASTRONOMIA,Postgrado,Magíster,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Enero de 2028,CITEVA,5 años,Voluntaria,Ciencias Básicas
MAGISTER EN CIENCIAS DE LA INGENIERIA MENCION INGENIERIA DE PROCESOS DE MINERALES,Postgrado,Magíster,Acreditado,Sí,Pendiente Acuerdo/Seg. PM,Hasta Agosto de 2031,FACING,6 años,Voluntaria,Tecnología
MAGISTER EN ECOLOGIA DE SISTEMAS ACUATICOS,Postgrado,Magíster,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Diciembre de 2028,FACIMAR,6 años,Voluntaria,Ciencias Básicas
MAGISTER EN EDUCACION: PRACTICA REFLEXIVA EN CONTEXTOS DIVERSOS,Postgrado,Magíster,En Proceso de Acreditación,Sí,En espera de decisión de acreditación,Sin Información,FACEDUC,--,Voluntaria,Educación
MAGISTER EN CIENCIAS CON MENCION ESTADISTICA INDUSTRIAL MENCION MATEMATICA APLICADA,Postgrado,Magíster,No Acreditado,No,Sin Información,Sin Información,FACIBA,--,Voluntaria,Ciencias Básicas
MAGISTER EN MATEMATICA PURA Y APLICADA,Postgrado,Magíster,No Acreditado,Sí,Autoevaluación/Ficha de datos,Sin Información,FACIBA,--,Voluntaria,Ciencias Básicas
MAGISTER EN ENERGIA SOLAR,Postgrado,Magíster,No Acreditado,Sí,Rediseño del Programa,Sin Información,FACING/CDEA,--,Voluntaria,Tecnología
MAGISTER EN INGENIERIA APLICADA,Postgrado,Magíster,No Acreditado,No,Sin Información,Sin Información,FACING,--,Voluntaria,Tecnología
MAGISTER EN DERECHO,Postgrado,Magíster,No Acreditado,No,En evaluación para oferta 2027,Sin Información,FACIJU,--,Voluntaria,Derecho
PROGRAMA DE FORMACION DE ESPECIALISTAS EN MEDICINA INTERNA,Postgrado,Especialidad Médica,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Marzo de 2028,FACMO,4 años,Voluntaria,Salud
PROGRAMA DE FORMACION DE ESPECIALISTAS EN PEDIATRIA,Postgrado,Especialidad Médica,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Junio de 2028,FACMO,4 años,Voluntaria,Salud
PROGRAMA DE FORMACION DE ESPECIALISTA EN RADIOLOGIA/IMAGENOLOGIA,Postgrado,Especialidad Médica,Acreditado,Sí,Autoevaluación,Hasta Abril de 2027,FACMO,3 años,Voluntaria,Salud
PROGRAMA DE FORMACION DE ESPECIALISTAS EN PSIQUIATRIA ADULTOS,Postgrado,Especialidad Médica,Acreditado,Sí,Autoevaluación,Hasta Julio de 2027,FACMO,3 años,Voluntaria,Salud
PROGRAMA DE FORMACION DE ESPECIALISTAS EN CIRUGIA GENERAL,Postgrado,Especialidad Médica,No Acreditado,Sí,Autoevaluación,Sin Información,FACMO,--,Voluntaria,Salud
PROGRAMA DE FORMACION DE ESPECIALISTA EN OBSTETRICIA Y GINECOLOGIA,Postgrado,Especialidad Médica,No Acreditado,No,Sin Información,Sin Información,FACSA,--,Voluntaria,Salud
PROGRAMA DE FORMACION DE ESPECIALISTA EN PERIODONCIA,Postgrado,Especialidad Odontológica,No Acreditado,Sí,Autoevaluación/Ficha de datos,Sin Información,FACMO,--,Voluntaria,Salud
PROGRAMA DE ESPECIALIDAD ODONTOLOGICA DE ENDODONCIA,Postgrado,Especialidad Odontológica,No Acreditado,Sí,Sin Información,Sin Información,FACMO,--,Voluntaria,Salud
PROGRAMA DE ESPECIALIDAD ODONTOLOGICA DE REHABILITACION ORAL,Postgrado,Especialidad Odontológica,No Acreditado,Sí,Sin Información,Sin Información,FACMO,--,Voluntaria,Salud
PROGRAMA DE ESPECIALIDAD ODONTOLOGICA DE ODONTOPEDIATRIA,Postgrado,Especialidad Odontológica,No Acreditado,Sí,Sin Información,Sin Información,FACMO,--,Voluntaria,Salud
MEDICINA,Pregrado,Pregrado Obligatorio,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Septiembre de 2027,FACMO,5 Años,Obligatoria,Salud
ODONTOLOGIA,Pregrado,Pregrado Obligatorio,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Septiembre de 2028,FACMO,6 Años,Obligatoria,Salud
PEDAGOGIA EN BIOLOGIA Y CIENCIAS NATURALES,Pregrado,Pregrado Obligatorio,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Noviembre de 2025,FACEDUC,4 Años,Obligatoria,Educación
PEDAGOGIA EN EDUCACION BASICA MENCIONES LENGUAJE Y COMUNICACION Y MATEMATICA,Pregrado,Pregrado Obligatorio,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Junio 2025,FACEDUC,3 Años,Obligatoria,Educación
PEDAGOGIA EN EDUCACION FISICA,Pregrado,Pregrado Obligatorio,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Enero de 2026,FACEDUC,4 Años ,Obligatoria,Educación
PEDAGOGIA EN EDUCACION PARVULARIA MENCION NECESIDADES EDUCATIVAS ESPECIALES,Pregrado,Pregrado Obligatorio,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Noviembre de 2025,FACEDUC,4 Años,Obligatoria,Educación
PEDAGOGIA EN INGLES PARA EDUCACION BASICA Y MEDIA,Pregrado,Pregrado Obligatorio,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Junio de 2027,FACEDUC,2 Años,Obligatoria,Educación
PEDAGOGIA EN LENGUAJE Y COMUNICACION,Pregrado,Pregrado Obligatorio,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Enero 2026,FACEDUC,4 Años,Obligatoria,Educación
PEDAGOGIA EN MATEMATICA,Pregrado,Pregrado Obligatorio,Acreditado,Sí,Pendiente Seguimiento PM,Hasta Enero 2026,FACEDUC,4 Años,Obligatoria,Educación
MAGISTER EN ACTIVIDAD FISICA DEPORTE Y SALUD,Postgrado,Magíster,No Acreditado,No,Sin Información,Sin Información,FACEDUC,--,Voluntaria,Educación
"MAGISTER EN CIENCIAS SOCIALES CON MENCION SUJETOS Y PROCESOS SOCIALES, MENCION EN GESTION DIRECTIVA, MENCION COMUNICACION ESTRATEGICA",Postgrado,Magíster,No Acreditado,No,Sin Información,Sin Información,FACSAYH,--,Voluntaria,Ciencias Sociales
