Año,Código Único,Nivel Global,Nivel Carrera,Nombre Carrera,Área Carrera Genérica,Tipo Carrera,Versión,Área del conocimiento,Acreditación Carrera o Programa,Modalidad,Jornada,Nombre Sede,Nombre Título,Grado Académico,Año Inicio,Vacantes Semestre Uno,Vacantes Semestre Dos,Arancel Anual,Duración Total,Vigencia
2010,I73S2C107J1V1,Posgrado,Doctorado,DOCTORADO EN CIENCIAS APLICADAS MENCION SISTEMAS MARINOS COSTEROS,Doctorado en Ciencias Básicas,Plan Regular,111,Ciencias Básicas,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"DOCTOR EN CIENCIAS APLICADAS, MENCION SISTEMAS MARINOS COSTEROS",2006,10,0,1350000,8,Vigente con estudiantes nuevos
2010,I73S2C108J1V1,Posgrado,Doctorado,DOCTORADO EN CIENCIAS BIOLOGICAS,Doctorado en Ciencias Básicas,Plan Regular,1,Ciencias Básicas,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,DOCTOR EN CIENCIAS BIOLOGICAS,2006,10,0,1400000,8,Vigente con estudiantes nuevos
2010,I73S2C106J1V1,Posgrado,Doctorado,DOCTORADO EN CIENCIAS DE LA INGENIERIA M/ PROCESAMIENTO DE MINERALES,Doctorado en Tecnología,Plan Regular,1,Tecnología,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,DOCTOR EN INGENIERIA DE PROCESOS DE MINERALES,2006,10,0,2400000,8,Vigente con estudiantes nuevos
2010,I73S2C109J1V1,Posgrado,Doctorado,DOCTORADO EN QUIMICA,Doctorado en Ciencias Básicas,Plan Regular,1,Ciencias Básicas,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,DOCTOR EN QUIMICA,2006,10,0,2500000,8,Vigente con estudiantes nuevos
2010,I73S2C104J1V1,Posgrado,Magister,MAGISTER CIENCIAS CON MENCION,Magister en Ciencias Básicas,Plan Regular,1,Ciencias Básicas,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,MAGISTER EN CIENCIAS CON MENCION EN ESTADISTICA INDUSTRIAL O MATEMATICAS APLICADAS,2004,20,0,1500000,4,Vigente con estudiantes nuevos
2010,I73S2C103J1V1,Posgrado,Magister,MAGISTER EN BIOLOGIA,Magister en Ciencias Básicas,Plan Regular,1,Ciencias Básicas,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,MAGISTER EN BIOLOGIA,2009,20,0,1400000,4,Vigente con estudiantes nuevos
2010,I73S2C113J1V1,Posgrado,Magister,"MAGISTER EN CIENCIAS BIOMEDICAS M/ BIOLOGIA DE LA REPRODUCCION, MICROBIOLOGIA APLICADA O FISIOLOGIA APLICADA",Magister en Salud,Plan Regular,1,Salud,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"MAGISTER EN CIENCIAS BIOMEDICAS MENCION BIOLOGIA DE LA REPRODUCCION, MICROBIOLOGIA APLICADA O FISIOLOGIA APLICADA",2000,20,0,1100000,4,Vigente con estudiantes nuevos
2010,I73S2C101J1V1,Posgrado,Magister,MAGISTER EN CIENCIAS DE LA INGENIERIA M/ INGENIERIA DE PROCESOS DE MINERALES,Magister en Tecnología,Plan Regular,1,Tecnología,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"MAGISTER EN CIENCIAS DE LA INGENIERIA, MENCION INGENIERIA DE PROCESOS DE MINERALES",1998,20,0,1450000,3,Vigente con estudiantes nuevos
2010,I73S2C100J1V1,Posgrado,Magister,MAGISTER EN CIENCIAS ODONTOLOGICAS,Magister en Salud,Plan Regular,1,Salud,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"MAGISTER EN CIENCIAS ODONTOLOGICAS CON MENCION EN CIRUGIA Y TRAUMATOLOGIA MAXILOFACIAL, PERIODONCIA O REHABILITACION ORAL",2006,20,0,4000000,6,Vigente con estudiantes nuevos
2010,I73S2C102J1V1,Posgrado,Magister,MAGISTER EN CIENCIAS SOCIALES,Magister en Ciencias Sociales,Plan Regular,1,Ciencias Sociales,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"MAGISTER EN CIENCIAS SOCIALES CON MENCION EN TRABAJO SOCIAL, GESTION DIRECTIVA O COMUNICACION CORPORATIVA",2007,20,0,142000,3,Vigente con estudiantes nuevos
2010,I73S2C148J1V1,Posgrado,Magister,MAGISTER EN DERECHO,Magister en Derecho,Plan Regular,1,Derecho,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"MAGISTER EN DERECHO CON MENCION EN DERECHO DE FAMILIA, MENCION DERECHO LABORAL, MENCION DE LOS RECURSOS NATURALES",2006,20,0,1700000,4,Vigente con estudiantes nuevos
2010,I73S2C149J1V1,Posgrado,Magister,MAGISTER EN DESARROLLO ENERGETICO,Magister en Tecnología,Plan Regular,1,Tecnología,,,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,MAGISTER EN DESARROLLO ENERGETICO,2010,20,0,2500000,4,Vigente con estudiantes nuevos
